order_id,client_id,product_id,product_name,quantity,unit_price,order_date,status,total
1001,C001,P001,Laptop,1,899.99,2025-01-05,Completed,222.2
1002,C002,P005,Wireless Mouse,2,19.99,2025-01-06,Completed,3233.3
1003,C001,P010,USB-C Adapter,1,12.5,2025-01-08,Cancelled,222.2
1004,C003,P015,Office Chair,1,149.99,2025-01-12,Completed,347.8
1005,C004,P002,Smartphone,1,699.0,2025-01-15,Pending,222.2
1006,C002,P022,Keyboard,1,29.99,2025-01-15,Completed,222.2
1007,C005,P012,"Monitor 27""",2,199.99,2025-01-18,Completed,222.2
1008,C006,P020,Webcam HD,1,49.99,2025-01-18,Completed,411.6
1009,C003,P032,Desk Lamp,1,24.99,2025-01-19,Completed,158.4
1010,C007,P009,Headphones,1,89.99,2025-01-20,Pending,492.5
1011,C004,P003,Tablet,1,299.0,2025-01-21,Completed,376.9
1012,C008,P018,Printer,1,129.99,2025-01-22,Completed,269.1
1013,C009,P007,Paper Pack A4,5,4.5,2025-01-23,Completed,22.5
1014,C010,P025,Ink Cartridge,2,22.99,2025-01-25,Completed,45.98
1015,C002,P030,Laptop Stand,1,34.99,2025-01-26,Pending,193.7
